Draft,Round,Pick,Player,Nationality
1967.0,1,1.0,Rick Pagnutti *,Canada
1968.0,1,7.0,Jim McInally,Canada
1969.0,2,16.0,Dale Hoganson,Canada
1969.0,3,27.0,Gregg Boddy,Canada
1969.0,4,39.0,Bruce Landon,Canada
1969.0,5,51.0,Butch Goring,Canada
1970.0,2,24.0,Al McDonough,Canada
1970.0,3,38.0,Terry Holbrook,Canada
1970.0,5,59.0,Billy Smith †,Canada
1970.0,6,73.0,Gerry Bradbury,Canada
1970.0,7,86.0,Brian Carlin,Canada
1970.0,8,98.0,Brian Chinnick,Canada
1971.0,3,34.0,Vic Venasky,Canada
1971.0,4,48.0,Neil Komadoski,Canada
1971.0,5,62.0,Gary Crosby,Canada
1971.0,6,76.0,Camille LaPierre,Canada
1971.0,7,89.0,Pete Harasym,Canada
1971.0,7,90.0,Norm Dube,Canada
1971.0,8,103.0,Lorne Stamler,Canada
1972.0,2,30.0,Don Kozak,Canada
1972.0,3,36.0,Dave Hutchison,Canada
1972.0,4,52.0,John Dobie,Canada
1972.0,5,68.0,Bernie Germain,Canada
1972.0,6,84.0,Mike Usitalo,USA
1972.0,7,100.0,Glen Toner,Canada
1973.0,3,38.0,Russ Walker,Canada
1973.0,4,54.0,Jim McCrimmon,Canada
1973.0,5,70.0,Dennis Abgrall,Canada
1973.0,6,86.0,Blair MacDonald,Canada
1973.0,7,102.0,Roly Kimble,Canada
1974.0,3,48.0,Gary Sargent,USA
1974.0,4,66.0,Brad Winton,Canada
1974.0,5,84.0,Paul Evans,Canada
1974.0,6,102.0,Marty Mathews,Canada
1974.0,7,120.0,Harvey Stewart,Canada
1974.0,8,137.0,John Held,Canada
1974.0,9,154.0,Mario Lessard,Canada
1974.0,10,169.0,Derrick Emerson,Canada
1974.0,11,184.0,Jacques Locas,Canada
1974.0,12,197.0,Lindsay Thomson,Canada
1974.0,13,207.0,Craig Brickley,Canada
1974.0,14,217.0,Brad Kuglin,Canada
1975.0,1,16.0,Tim Young,Canada
1975.0,2,33.0,Terry Bucyk,Canada
1975.0,4,69.0,Andre Leduc,Canada
1975.0,5,87.0,Dave Miglia,Canada
1975.0,6,105.0,Bob Russell,Canada
1975.0,7,123.0,Dave Faulkner,Canada
1975.0,8,141.0,Bill Reber,USA
1975.0,9,157.0,Sean Sullivan,Canada
1975.0,10,172.0,Brian Petrovek,USA
1975.0,11,186.0,Tom Goddard,USA
1975.0,12,197.0,Mario Vien,Canada
1975.0,13,203.0,Chuck Carpenter,USA
1975.0,14,207.0,Bob Fish,USA
1975.0,15,210.0,Dave Taylor,Canada
1975.0,15,213.0,Bob Shaw,Canada
1976.0,2,21.0,Steve Clippingdale,Canada
1976.0,3,49.0,Don Moores,Canada
1976.0,4,67.0,Bob Mears,Canada
1976.0,5,85.0,Rob Palmer,Canada
1976.0,6,103.0,Larry McRae,Canada
1977.0,5,84.0,Julian Baretta,Canada
1977.0,5,85.0,Warren Holmes,Canada
1977.0,6,103.0,Randy Rudnyk,Canada
1977.0,7,120.0,Bob Suter,USA
1978.0,5,77.0,Paul Mancini,Canada
1978.0,6,94.0,Doug Keans,Canada
1978.0,7,111.0,Don Waddell,USA
1978.0,8,128.0,Rob Mierkalns,Canada
1978.0,9,145.0,Rick Scully,Canada
1978.0,10,162.0,Brad Thiessen,Canada
1978.0,11,177.0,Jim Armstrong,USA
1978.0,12,193.0,Claude Larochelle,Canada
1979.0,1,16.0,Jay Wells,Canada
1979.0,2,29.0,Dean Hopkins,Canada
1979.0,2,30.0,Mark Hardy,Canada
1979.0,3,50.0,John Kelly,Canada
1979.0,4,71.0,John Gibson,Canada
1979.0,5,92.0,Jim Brown,USA
1979.0,6,113.0,Jay McFarlane,Canada
1980.0,1,4.0,Larry Murphy †,Canada
1980.0,1,10.0,Jim Fox,Canada
1980.0,2,33.0,Greg Terrion,Canada
1980.0,2,34.0,Dave Morrison,Canada
1980.0,3,52.0,Steve Bozek,Canada
1980.0,4,73.0,Bernie Nicholls,Canada
1980.0,5,94.0,Alan Graves,France
1980.0,6,115.0,Darren Eliot,Canada
1980.0,7,136.0,Mike O'Connor,Canada
1980.0,8,157.0,Billy O'Dwyer,USA
1980.0,9,178.0,Daryl Evans,Canada
1980.0,10,199.0,Kim Collins,Canada
1981.0,1,2.0,Doug Smith,Canada
1981.0,2,39.0,Dean Kennedy,Canada
1981.0,4,81.0,Marty Dallman,Canada
1981.0,6,123.0,Brad Thompson,Canada
1981.0,7,134.0,Craig Hurley,Canada
1981.0,7,144.0,Peter Sawkins,USA
1981.0,8,165.0,Dan Brennan,Canada
1981.0,9,186.0,Al Tuer,Canada
