Driver,Constructor,Laps,Time/Retired,Grid
David Coulthard,McLaren - Mercedes,60.0,1:32:30.144,3.0
Eddie Irvine,Ferrari,60.0,+1.829,4.0
Ralf Schumacher,Williams - Supertec,60.0,+27.411,8.0
Heinz-Harald Frentzen,Jordan - Mugen-Honda,60.0,+27.789,5.0
Damon Hill,Jordan - Mugen-Honda,60.0,+38.606,6.0
Pedro Diniz,Sauber - Petronas,60.0,+53.643,12.0
Giancarlo Fisichella,Benetton - Playlife,60.0,+54.614,17.0
Rubens Barrichello,Stewart - Ford,60.0,+1:08.590,7.0
Jarno Trulli,Prost - Peugeot,60.0,+1:12.045,14.0
Alexander Wurz,Benetton - Playlife,60.0,+1:12.123,18.0
Alessandro Zanardi,Williams - Supertec,60.0,+1:17.124,13.0
Johnny Herbert,Stewart - Ford,60.0,+1:17.709,11.0
Olivier Panis,Prost - Peugeot,60.0,+1:20.492,15.0
Jean Alesi,Sauber - Petronas,59.0,Engine,10.0
Marc Gené,Minardi - Ford,58.0,+2 Laps,22.0
Toranosuke Takagi,Arrows,58.0,+2 Laps,19.0
Ricardo Zonta,BAR - Supertec,41.0,Suspension,16.0
Mika Häkkinen,McLaren - Mercedes,35.0,Wheel,1.0
Jacques Villeneuve,BAR - Supertec,29.0,Halfshaft,9.0
Luca Badoer,Minardi - Ford,6.0,Gearbox,21.0
Pedro de la Rosa,Arrows,0.0,Gearbox,20.0
Michael Schumacher,Ferrari,0.0,Accident/Brakes,2.0
