Country,Skip,W,L,PF,PA,Ends Won,Ends Lost,Blank Ends,Stolen Ends,Shot %
Canada,Jennifer Jones,10.0,1.0,92.0,57.0,49.0,31.0,10.0,12.0,87%
Germany,Andrea Schöpp,8.0,3.0,78.0,63.0,47.0,41.0,14.0,11.0,81%
Scotland,Eve Muirhead,8.0,3.0,90.0,54.0,48.0,37.0,9.0,13.0,82%
Sweden,Cecilia Östlund,7.0,4.0,74.0,71.0,43.0,46.0,7.0,13.0,81%
United States,Erika Brown,7.0,4.0,81.0,69.0,51.0,41.0,10.0,12.0,78%
Denmark,Angelina Jensen,6.0,5.0,84.0,68.0,46.0,44.0,7.0,13.0,81%
China,Wang Bingyu,6.0,5.0,78.0,80.0,51.0,45.0,5.0,16.0,81%
Russia,Anna Sidorova,5.0,6.0,66.0,66.0,47.0,41.0,15.0,13.0,79%
Norway,Linn Githmark,3.0,8.0,63.0,76.0,40.0,51.0,12.0,7.0,77%
Switzerland,Binia Feltscher,3.0,8.0,63.0,76.0,46.0,48.0,11.0,12.0,78%
Japan,Moe Meguro,2.0,9.0,53.0,88.0,40.0,52.0,8.0,9.0,74%
