Round,Overall,Player,Position,School/Club Team
2.0,41.0,Ron Brown,Wide Receiver,Arizona State
3.0,68.0,Reggie Camp,Defensive End,California
5.0,122.0,Bill Contz,Offensive Tackle,Penn State
6.0,145.0,Tim Stracka,Tight End,Wisconsin
6.0,149.0,Dave Puzzuoli,Nose Tackle,Pittsburgh
7.0,176.0,Rocky Belk,Wide Receiver,Miami
8.0,209.0,Mike McClearn,Guard,Temple
10.0,262.0,Thomas Hopkins,Offensive Tackle,Alabama A&M
11.0,288.0,Boyce Green,Running Back,Carson Newman College
11.0,305.0,Howard McAdoo,Linebacker,Michigan State
12.0,316.0,Paul Farren,Offensive Tackle,Boston University
