Seed,Rank,Player,Points,Points defending,Points won,New points,Status
1.0,1.0,Caroline Wozniacki,9915.0,280.0,280.0,9915.0,Fourth round lost to Dominika Cibulková [24]
2.0,3.0,Vera Zvonareva,7935.0,1400.0,160.0,6695.0,Third round lost to Tsvetana Pironkova [32]
3.0,4.0,Li Na,6255.0,500.0,100.0,5855.0,Second round lost to Sabine Lisicki (WC)
4.0,5.0,Victoria Azarenka,5725.0,160.0,900.0,6465.0,Semifinals lost to Petra Kvitová [8]
5.0,6.0,Maria Sharapova,5021.0,280.0,1400.0,6141.0,"Runner-up, lost to Petra Kvitová [8]"
6.0,7.0,Francesca Schiavone,4705.0,5.0,160.0,4860.0,Third round lost to Tamira Paszek
7.0,25.0,Serena Williams,2060.0,2000.0,280.0,340.0,Fourth round lost to Marion Bartoli [9]
8.0,8.0,Petra Kvitová,4337.0,900.0,2000.0,5437.0,"Champion, defeated Maria Sharapova [5]"
9.0,9.0,Marion Bartoli,4010.0,280.0,500.0,4230.0,Quarterfinals lost to Sabine Lisicki (WC)
10.0,10.0,Samantha Stosur,3405.0,5.0,5.0,3405.0,First round lost to Melinda Czink (PR)
11.0,13.0,Andrea Petkovic,3150.0,5.0,160.0,3305.0,Third round lost to Ksenia Pervak
12.0,12.0,Svetlana Kuznetsova,3160.0,100.0,160.0,3220.0,Third round lost to Yanina Wickmayer [19]
13.0,11.0,Agnieszka Radwańska,3175.0,280.0,100.0,2995.0,Second round lost to Petra Cetkovská
14.0,14.0,Anastasia Pavlyuchenkova,3055.0,160.0,100.0,2995.0,Second round lost to Nadia Petrova
15.0,15.0,Jelena Janković,3050.0,280.0,5.0,2775.0,First round lost to María José Martínez Sánchez
16.0,16.0,Julia Görges,2560.0,5.0,160.0,2715.0,Third round lost to Dominika Cibulková [24]
17.0,17.0,Kaia Kanepi,2466.0,500.0,5.0,1971.0,First round lost to Sara Errani
18.0,18.0,Ana Ivanovic,2400.0,5.0,160.0,2555.0,Third round lost to Petra Cetkovská
19.0,19.0,Yanina Wickmayer,2350.0,160.0,280.0,2470.0,Fourth round lost to Petra Kvitová [8]
20.0,20.0,Peng Shuai,2300.0,0.0,280.0,2580.0,Fourth round lost to Maria Sharapova [5]
21.0,21.0,Flavia Pennetta,2220.0,160.0,160.0,2220.0,Third round lost to Marion Bartoli [9]
22.0,22.0,Shahar Pe'er,2170.0,100.0,5.0,2075.0,First round lost to Ksenia Pervak
23.0,30.0,Venus Williams,1680.0,500.0,280.0,1460.0,Fourth round lost to Tsvetana Pironkova [32]
24.0,24.0,Dominika Cibulková,2115.0,160.0,500.0,2455.0,Quarterfinals lost to Maria Sharapova [5]
25.0,23.0,Daniela Hantuchová,2135.0,100.0,160.0,2195.0,Third round lost to Victoria Azarenka [4]
26.0,27.0,Maria Kirilenko,1985.0,160.0,160.0,1985.0,Third round lost to Serena Williams [7]
27.0,28.0,Jarmila Gajdošová,1940.0,280.0,160.0,1820.0,Third round lost to Caroline Wozniacki [1]
28.0,38.0,Ekaterina Makarova,1381.0,100.0,5.0,1286.0,First round lost to Christina McHale
29.0,29.0,Roberta Vinci,1925.0,100.0,160.0,1985.0,Third round lost to Petra Kvitová [8]
30.0,31.0,Bethanie Mattek-Sands,1643.0,5.0,5.0,1643.0,First round lost to Misaki Doi (Q)
31.0,32.0,Lucie Šafářová,1585.0,5.0,100.0,1680.0,Second round lost to Klára Zakopalová
