Grid,Driver,Constructor,Qual,Rank,Laps,Time/Retired
7.0,Jimmy Bryan,Epperly - Offenhauser,144.18,1.0,200.0,3:44:13.80
25.0,George Amick,Epperly - Offenhauser,142.71,8.0,200.0,+ 27.63
8.0,Johnny Boyd,Kurtis Kraft - Offenhauser,144.02,24.0,200.0,+ 1:09.67
9.0,Tony Bettenhausen,Epperly - Offenhauser,143.91,9.0,200.0,+ 1:34.81
20.0,Jim Rathmann,Epperly - Offenhauser,143.14,10.0,200.0,+ 1:35.62
3.0,Jimmy Reece,Watson - Offenhauser,145.51,14.0,200.0,+ 2:16.95
13.0,Don Freeland,Phillips - Offenhauser,143.03,3.0,200.0,+ 2:21.06
19.0,Jud Larson,Watson - Offenhauser,143.51,16.0,200.0,+ 5:34.02
26.0,Eddie Johnson,Kurtis Kraft - Offenhauser,142.67,11.0,200.0,+ 6:15.76
33.0,Bill Cheesbourg,Kurtis Kraft - Novi,142.54,25.0,200.0,+ 8:03.59
21.0,Al Keller,Kurtis Kraft - Offenhauser,142.93,29.0,200.0,+ 9:14.20
6.0,Johnnie Parsons,Kurtis Kraft - Offenhauser,144.68,18.0,200.0,+ 9:40.85
30.0,Johnnie Tolan,Kuzma - Offenhauser,142.3,6.0,200.0,+ 9:52.24
17.0,Bob Christie,Kurtis Kraft - Offenhauser,142.25,30.0,189.0,Spun off
32.0,Dempsey Wilson,Kuzma - Offenhauser,134.27,32.0,151.0,Fire
12.0,A. J. Foyt,Kuzma - Offenhauser,143.13,33.0,148.0,Spun off
31.0,Mike Magill,Kurtis Kraft - Offenhauser,142.27,15.0,136.0,Disqualified
14.0,Paul Russo,Kurtis Kraft - Novi,142.95,31.0,122.0,Throttle
23.0,Shorty Templeman,Kurtis Kraft - Offenhauser,142.81,17.0,116.0,Brakes
11.0,Rodger Ward,Lesovsky - Offenhauser,143.26,20.0,93.0,Magneto
15.0,Billy Garrett,Kurtis Kraft - Offenhauser,142.77,13.0,80.0,Magneto
18.0,Eddie Sachs,Kuzma - Offenhauser,144.66,21.0,68.0,Transmission
22.0,Johnny Thomson,Kurtis Kraft - Offenhauser,142.9,7.0,52.0,Steering
29.0,Chuck Weyant,Dunn - Offenhauser,142.6,19.0,38.0,accident
10.0,Jack Turner,Lesovsky - Offenhauser,143.43,28.0,21.0,Fuel pump
4.0,Bob Veith,Kurtis Kraft - Offenhauser,144.88,12.0,1.0,Accident
1.0,Dick Rathmann,Watson - Offenhauser,145.97,4.0,0.0,Accident
2.0,Ed Elisian,Watson - Offenhauser,145.92,2.0,0.0,Accident
5.0,Pat O'Connor ✝,Kurtis Kraft - Offenhauser,144.82,5.0,0.0,Died in crash
16.0,Paul Goldsmith,Kurtis Kraft - Offenhauser,142.74,23.0,0.0,Accident
24.0,Jerry Unser,Kurtis Kraft - Offenhauser,142.75,22.0,0.0,Accident
27.0,Len Sutton,Kurtis Kraft - Offenhauser,142.65,26.0,0.0,Accident
28.0,Art Bisch,Kuzma - Offenhauser,142.63,27.0,0.0,Accident
