Rank,Couple,Judges,Public,Total,Vote percentage,Result
1.0,Gary and Maria,11.0,12.0,23.0,20.1%,Safe
1.0,Hayley and Daniel,12.0,11.0,23.0,18.4%,Safe
3.0,Mikey and Melanie,10.0,10.0,20.0,17.6%,Safe
4.0,Danniella and Matthew,9.0,9.0,18.0,7.3%,Safe
5.0,Danny and Frankie,8.0,7.0,15.0,5.9%,Safe
6.0,Heather and Matt,7.0,6.0,13.0,5.2%,Safe
7.0,Kieron and Brianne,7.0,4.0,11.0,4.0%,Safe
8.0,Emily and Fred,5.0,5.0,10.0,4.3%,Safe
9.0,Dr. Hilary and Alexandra,2.0,8.0,10.0,6.3%,Safe
10.0,Tana and Stuart,4.0,3.0,7.0,4.0%,Safe
11.0,Sharron and Pavel,6.0,1.0,7.0,3.1%,Bottom two
