School,Location(s),Control,Type,Enrollment (fall 2010),Founded,Accreditation
Bismarck State College,Bismarck,Public,Associate's college,4177.0,1939.0,The Higher Learning Commission ( NCA )
Cankdeska Cikana Community College,Fort Totten,Public,Tribal college,220.0,1974.0,The Higher Learning Commission ( NCA )
Dakota College at Bottineau,Bottineau,Public,Associate's college,898.0,1906.0,The Higher Learning Commission ( NCA )
Fort Berthold Community College,New Town,Public,Tribal college,215.0,1973.0,The Higher Learning Commission ( NCA )
Jamestown College,Jamestown,Private not-for-profit,Baccalaureate college,972.0,1883.0,"The Higher Learning Commission ( NCA ), NLNAC"
Lake Region State College,Devils Lake,Public,Associate's college,1913.0,1941.0,The Higher Learning Commission ( NCA )
Mayville State University,Mayville,Public,Baccalaureate college,982.0,1889.0,"The Higher Learning Commission ( NCA ), NCATE"
Medcenter One College of Nursing,Bismarck,Private not-for-profit,Special-focus institution,91.0,1988.0,"The Higher Learning Commission ( NCA ), CCNE"
Minot State University,Minot,Public,Master's university,3866.0,1913.0,"ASHA , NASM , NCATE , NLNAC"
Rasmussen College,"Fargo , Bismarck",Private for-profit,Baccalaureate/associate's college,1765.0,2006.0,The Higher Learning Commission ( NCA )
Sitting Bull College,Fort Yates,Public,Tribal college,314.0,1973.0,The Higher Learning Commission ( NCA )
Trinity Bible College,Ellendale,Private not-for-profit,Special-focus institution,285.0,1948.0,ABHE
Turtle Mountain Community College,Belcourt,Private not-for-profit,Tribal college,969.0,1972.0,The Higher Learning Commission ( NCA )
United Tribes Technical College,Bismarck,Private not-for-profit,Tribal college,600.0,1969.0,"The Higher Learning Commission ( NCA ), NLNAC"
