Week,Date,Opponent,Result,Attendance
1.0,"September 3, 1978",Green Bay Packers,L 13-7,51187.0
2.0,"September 9, 1978",at Tampa Bay Buccaneers,W 15-7,64445.0
3.0,"September 17, 1978",Chicago Bears,L 19-0,65982.0
4.0,"September 24, 1978",at Seattle Seahawks,L 28-16,60040.0
5.0,"October 1, 1978",at Green Bay Packers,L 35-14,54601.0
6.0,"October 8, 1978",Washington Redskins,L 21-19,60555.0
7.0,"October 15, 1978",at Atlanta Falcons,L 14-0,51172.0
8.0,"October 22, 1978",San Diego Chargers,W 31-14,54031.0
9.0,"October 29, 1978",at Chicago Bears,W 21-17,53378.0
10.0,"November 5, 1978",at Minnesota Vikings,L 17-7,46008.0
11.0,"November 12, 1978",Tampa Bay Buccaneers,W 34-23,60320.0
12.0,"November 19, 1978",at Oakland Raiders,L 29-17,44517.0
13.0,"November 23, 1978",Denver Broncos,W 17-14,71785.0
14.0,"December 3, 1978",at St. Louis Cardinals,L 21-14,39200.0
15.0,"December 9, 1978",Minnesota Vikings,W 45-14,78685.0
16.0,"December 17, 1978",San Francisco 49ers,W 33-14,56674.0
