Position,Album title,Artist,Sales,Peak
1.0,Rockferry,Duffy,1684944.0,1
2.0,The Circus,Take That,1446135.0,1
3.0,Only by the Night,Kings of Leon,1181640.0,1
4.0,Spirit,Leona Lewis,1180370.0,1
5.0,Viva la Vida or Death and All His Friends,Coldplay,1086962.0,1
6.0,Good Girl Gone Bad,Rihanna,820584.0,1 (in 2007)
7.0,Day & Age,The Killers,703213.0,1
8.0,Out of Control,Girls Aloud,591785.0,1
9.0,Funhouse,Pink,587984.0,1
10.0,Scouting for Girls,Scouting for Girls,574630.0,1
11.0,All the Right Reasons,Nickelback,568000.0,2
12.0,The Script,The Script,542000.0,1
13.0,Decade in the Sun: The Best of Stereophonics,Stereophonics,528000.0,2
14.0,Back to Black: The Deluxe Edition,Amy Winehouse,523000.0,1
15.0,Dig Out Your Soul,Oasis,500000.0,1
16.0,19,Adele,479000.0,1
17.0,The Promise,Il Divo,468000.0,1
18.0,A Hundred Million Suns,Snow Patrol,424000.0,2
19.0,Gold: Greatest Hits,ABBA,409000.0,1
20.0,My Love: Essential Collection,Celine Dion,398000.0,5
21.0,This Is the Life,Amy Macdonald,393000.0,1
22.0,The Priests,The Priests,391000.0,5
23.0,We Started Nothing,The Ting Tings,378000.0,1
24.0,Year of the Gentleman,Ne-Yo,371000.0,2
25.0,Black Ice,AC/DC,370500.0,1
26.0,Life in Cartoon Motion,Mika,363000.0,1
27.0,Call Me Irresponsible,Michael Bublé,354000.0,2
28.0,Home Before Dark,Neil Diamond,349000.0,1
29.0,Rhydian,Rhydian,347000.0,4
30.0,Let It Go,Will Young,343000.0,2
31.0,Greatest Hits,Enrique Iglesias,339000.0,3
32.0,Exclusive,Chris Brown,335000.0,3
33.0,Beautiful World,Take That,331000.0,1
34.0,Raising Sand,Robert Plant & Alison Krauss,328000.0,2
35.0,The Seldom Seen Kid,Elbow,325000.0,5
36.0,Hard Candy,Madonna,323000.0,1
37.0,The Best Bette,Bette Midler,312000.0,6
38.0,I Am… Sasha Fierce,Beyoncé,311734.0,2 (in 2009)
39.0,The Best Of,Sash!,297000.0,9
40.0,Safe Trip Home,Dido,297000.0,2
